순번,가맹점,조식,중식,석식,음식점 종류,네이버 지도 링크
40,강동호치민,X,O,O,중식/아시안,https://map.naver.com/p/search/%EA%B0%95%EB%8F%99%ED%98%B8%EC%B9%98%EB%AF%BC
41,강릉장칼(강동역점),X,O,O,한식,https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%EC%9E%A5%EC%B9%BC%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
42,과일의시작 카페야미(강동점),O,O,X,카페/디저트,https://map.naver.com/p/search/%EA%B3%BC%EC%9D%BC%EC%9D%98%EC%8B%9C%EC%9E%91%20%EC%B9%B4%ED%8E%98%EC%95%BC%EB%AF%B8%28%EA%B0%95%EB%8F%99%EC%A0%90%29
43,금돈김치마을,X,O,O,한식,https://map.naver.com/p/search/%EA%B8%88%EB%8F%88%EA%B9%80%EC%B9%98%EB%A7%88%EC%9D%84
44,꿀꿀 진순대국,X,O,O,한식,https://map.naver.com/p/search/%EA%BF%80%EA%BF%80%20%EC%A7%84%EC%88%9C%EB%8C%80%EA%B5%AD
45,늘봄두루치기김치찌개,X,O,O,한식,https://map.naver.com/p/search/%EB%8A%98%EB%B4%84%EB%91%90%EB%A3%A8%EC%B9%98%EA%B8%B0%EA%B9%80%EC%B9%98%EC%B0%8C%EA%B0%9C
46,대삼박이,X,O,O,기타,https://map.naver.com/p/search/%EB%8C%80%EC%83%81%EB%B0%95%EC%9D%B4
47,돈까스랑 칼국수랑,X,O,O,한식,https://map.naver.com/p/search/%EB%8F%88%EA%B9%8C%EC%8A%A4%EB%9E%91%20%EC%B9%BC%EA%B5%AD%EC%88%98%EB%9E%91
48,라라포 분짜 쌀국수,X,O,O,한식,https://map.naver.com/p/search/%EB%9D%BC%EB%9D%BC%ED%8F%AC%20%EB%B6%84%EC%A7%9C%20%EC%8C%80%EA%B5%AD%EC%88%98
49,루벨(강동점),X,O,X,배식,https://map.naver.com/p/search/%EB%A3%A8%EB%B2%A8%28%EA%B0%95%EB%8F%99%EC%A0%90%29
50,맘스터치(강동역점),X,O,X,햄버거,https://map.naver.com/p/search/%EB%A7%98%EC%8A%A4%ED%84%B0%EC%B9%98%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
51,맛있는닭한마리,X,O,O,기타,https://map.naver.com/p/search/%EB%A7%9B%EC%9E%88%EB%8A%94%EB%8B%AD%ED%95%9C%EB%A7%88%EB%A6%AC
52,맛쟁이떡볶이(강동역점),X,O,X,분식,https://map.naver.com/p/search/%EB%A7%9B%EC%A7%B1%EC%9D%B4%EB%96%A1%EB%B3%B6%EC%9D%B4%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
53,모리향(강동점),X,O,O,기타,https://map.naver.com/p/search/%EB%AA%A8%EB%A6%AC%ED%96%A5%28%EA%B0%95%EB%8F%99%EC%A0%90%29
54,모범떡볶이(길동점),X,O,O,분식,https://map.naver.com/p/search/%EB%AA%A8%EB%B2%94%EB%96%A1%EB%B3%B6%EC%9D%B4%28%EA%B8%B8%EB%8F%99%EC%A0%90%29
55,미리내경양식,X,O,O,기타,https://map.naver.com/p/search/%EB%AF%B8%EB%A6%AC%EB%82%B4%EA%B2%BD%EC%96%91%EC%8B%9D
56,미식미객,X,O,O,기타,https://map.naver.com/p/search/%EB%AF%B8%EC%8B%9D%EB%AF%B8%EA%B0%9D
